"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.1124431531854,0.848,0.331,0,"0","ID3"
0,1.99364122099407,0.776,0.265,0,"0","DLGAP5"
0,2.32691880612032,0.984,0.474,0,"0","DPPA4"
0,2.40166179531605,0.649,0.141,0,"0","ZIC2"
0,2.33045736549232,0.974,0.469,0,"0","CTSC"
0,1.96021279485004,0.892,0.398,0,"0","ATP5PD"
0,1.92647279122762,0.892,0.399,0,"0","CLDN6"
0,1.8957625750883,0.835,0.342,0,"0","CCND1"
0,1.87160650298995,0.734,0.245,0,"0","NPM3"
0,2.68279511460627,0.614,0.126,0,"0","AL353747.4"
0,1.94163001504868,0.813,0.325,0,"0","SLC2A3"
0,1.8209851405147,0.713,0.226,0,"0","ETV1"
0,2.56189747189636,0.653,0.166,0,"0","WFDC2"
0,1.91398604959031,0.936,0.453,0,"0","HMGB3"
0,2.59277501776921,0.664,0.183,0,"0","CTSV"
0,1.43898848982523,0.746,0.267,0,"0","HIST1H4C"
0,2.14272015380738,0.748,0.269,0,"0","IFITM2"
0,1.67739844368525,0.851,0.375,0,"0","CKS2"
0,2.13940449731382,0.736,0.261,0,"0","PHC1"
0,1.93479932649986,0.986,0.513,0,"0","HMGA1"
0,3.12781656369069,0.587,0.115,0,"0","GDF3"
0,1.93305780241556,0.829,0.359,0,"0","SERPINE2"
0,2.38851446165974,0.682,0.213,0,"0","NFE2L3"
0,1.81833656628045,0.776,0.307,0,"0","CYB5A"
0,2.03718278774328,0.725,0.256,0,"0","RRM2"
0,1.95302761326259,0.86,0.391,0,"0","DDT"
0,2.78338743927268,0.627,0.158,0,"0","ANOS1"
0,2.32154994162435,0.693,0.225,0,"0","PODXL"
0,1.68961306745283,0.921,0.454,0,"0","RBPMS"
0,1.90821797047549,0.88,0.414,0,"0","AC011447.3"
0,1.83338401195993,0.852,0.389,0,"0","MDN1"
0,1.85021738379382,0.931,0.469,0,"0","HELLS"
0,1.82660541598582,0.829,0.368,0,"0","GCSH"
0,1.84065346099329,0.758,0.298,0,"0","CKS1B"
0,1.73693117701224,0.802,0.342,0,"0","PTTG1"
0,2.75112325389705,0.572,0.112,0,"0","CNMD"
0,3.96195173754546,0.536,0.077,0,"0","AC003975.1"
0,1.87567442401971,0.731,0.275,0,"0","CENPU"
0,2.97806133580069,0.577,0.121,0,"0","FLT1"
0,2.14735070181897,0.676,0.221,0,"0","ID1"
0,2.01106509003946,0.633,0.179,0,"0","LINC01356"
0,1.39410615622583,0.745,0.291,0,"0","ASPM"
0,1.98462043619019,0.722,0.268,0,"0","MAD2L2"
0,2.83600448637609,0.573,0.119,0,"0","ESRP1"
0,2.11919742134316,0.778,0.328,0,"0","HLA-A"
0,2.83134801961717,0.591,0.145,0,"0","PLBD1"
0,1.92356684626659,0.736,0.291,0,"0","ZNF770"
0,2.05876282593032,0.676,0.233,0,"0","DSG2"
0,1.73075394198614,0.808,0.366,0,"0","RPL22L1"
0,1.72695969624514,0.895,0.453,0,"0","NDUFB4"
0,2.14312798177367,0.678,0.237,0,"0","CBR1"
0,1.74503238797975,0.977,0.536,0,"0","TOMM7"
0,3.04434592403419,0.551,0.111,0,"0","EPHA1"
0,1.12312056926208,0.805,0.367,0,"0","TOP2A"
0,1.37400250457682,0.85,0.414,0,"0","UBE2C"
0,1.29883830117934,0.775,0.34,0,"0","LIN28A"
0,1.82731744767499,0.806,0.372,0,"0","COL6A1"
0,2.00379194591968,0.664,0.23,0,"0","CHCHD10"
0,1.70977766011961,0.862,0.428,0,"0","TALDO1"
0,3.15282617881655,0.53,0.097,0,"0","CHST9"
0,1.40613939341004,0.902,0.47,0,"0","HMGB2"
0,1.62693305259482,0.836,0.404,0,"0","CACYBP"
0,2.04931561686747,0.666,0.236,0,"0","AL590705.1"
0,1.79579766274574,0.735,0.306,0,"0","PCNA"
0,2.46214826505843,0.61,0.182,0,"0","SLC29A1"
0,1.7880244209263,0.958,0.531,0,"0","C1QBP"
0,1.58443953009708,0.789,0.363,0,"0","CCNB1"
0,1.64110463673864,0.842,0.416,0,"0","CASP3"
0,1.53900707179665,0.871,0.445,0,"0","DUT"
0,1.81239826184175,0.727,0.302,0,"0","MCM3"
0,1.54461862280048,0.85,0.425,0,"0","CSTB"
0,1.71995059615826,0.758,0.333,0,"0","MT-ND6"
0,1.25214230550705,0.95,0.525,0,"0","CENPF"
0,2.71238586875055,0.54,0.116,0,"0","NMU"
0,1.83975558774673,0.737,0.313,0,"0","FKBP4"
0,1.96070797375149,0.708,0.284,0,"0","CYBA"
0,1.52486476738081,0.797,0.376,0,"0","NME4"
0,2.27020322767521,0.586,0.166,0,"0","RBPMS2"
0,1.65198704969781,0.844,0.425,0,"0","ATP5MC1"
0,1.60981531357303,0.772,0.354,0,"0","FBL"
0,1.48870091740564,0.837,0.419,0,"0","MSH2"
0,2.06463205810236,0.612,0.194,0,"0","TMEM132B"
0,1.86333985549143,0.98,0.563,0,"0","MGST1"
0,1.61186364560886,0.742,0.325,0,"0","APRT"
0,2.31618708177966,0.572,0.156,0,"0","APOC1"
0,1.07230681769455,0.778,0.364,0,"0","PCDH11X"
0,1.71959699499144,0.834,0.42,0,"0","NOP56"
0,1.82754052045937,0.656,0.244,0,"0","CDC20"
0,1.5078166580243,0.915,0.503,0,"0","DEK"
0,3.29919683794407,0.511,0.099,0,"0","AL392023.1"
0,1.44464136447453,0.769,0.357,0,"0","MIS18BP1"
0,1.60657472912067,0.73,0.318,0,"0","MPP6"
0,1.56879332804183,0.891,0.48,0,"0","SLC16A1"
0,1.42524162974489,0.877,0.466,0,"0","CYCS"
0,2.36672994252229,0.586,0.175,0,"0","SPINT1"
0,2.41285702989221,0.55,0.141,0,"0","SLC7A8"
0,1.7408192016699,0.93,0.521,0,"0","EIF1AX"
0,1.59078391052183,0.959,0.55,0,"0","SLIRP"
0,1.81530647913933,0.66,0.252,0,"0","IQGAP2"
0,1.63342668610765,0.983,0.575,0,"0","FABP5"
0,1.37980430716188,0.892,0.484,0,"0","LSM4"
0,1.74950621448151,0.824,0.416,0,"0","CCNG1"
0,1.63985920820375,0.825,0.417,0,"0","AP1S2"
0,1.51988486531119,0.876,0.469,0,"0","EBPL"
0,1.76745781909067,0.847,0.44,0,"0","NDUFB9"
0,1.53466586878599,0.843,0.436,0,"0","LDHA"
0,1.43353572495839,0.949,0.542,0,"0","SNRPG"
0,1.9720098342968,0.672,0.267,0,"0","IER2"
0,1.46912889895622,0.906,0.502,0,"0","TRMT112"
0,1.57882660781004,0.749,0.346,0,"0","LSM3"
0,1.7898246577666,0.68,0.277,0,"0","MRPL11"
0,1.44280211619448,0.905,0.503,0,"0","PAICS"
0,1.53647104923046,0.777,0.375,0,"0","TIMM13"
0,1.41222454296201,0.809,0.408,0,"0","TOMM5"
0,1.38355759097167,0.887,0.486,0,"0","YBX3"
0,1.36010396808008,0.848,0.448,0,"0","TXNDC17"
0,1.54525369808473,0.943,0.544,0,"0","ATP5ME"
0,1.42888070718664,0.871,0.475,0,"0","SNRPB"
0,1.44930878613904,0.701,0.305,0,"0","TMEM256"
0,1.81235183294604,0.661,0.266,0,"0","AFF1"
0,1.22515466513529,0.84,0.445,0,"0","ABRACL"
0,1.37612162838239,0.867,0.473,0,"0","MICOS10"
0,1.52754406803249,0.773,0.379,0,"0","MRPS34"
0,2.566333483448,0.512,0.119,0,"0","UTF1"
0,1.45156309412855,0.881,0.488,0,"0","COX8A"
0,1.58593921319347,0.918,0.525,0,"0","COX5A"
0,1.56895181271726,0.731,0.338,0,"0","NDUFC1"
0,1.98942045502912,0.647,0.255,0,"0","FAM162A"
0,1.38039458210386,0.818,0.426,0,"0","PAK1"
0,1.51476239291458,0.948,0.556,0,"0","TMEM258"
0,2.28790352106124,0.552,0.161,0,"0","AC104461.1"
0,2.72112121938182,0.509,0.118,0,"0","KRTCAP3"
0,1.66718188987128,0.65,0.259,0,"0","RPA3"
0,1.62193788556094,0.97,0.579,0,"0","SNRPN"
0,2.15314100356082,0.538,0.147,0,"0","MT1X"
0,1.74225159951826,0.992,0.602,0,"0","HSPE1"
0,1.55962324964765,0.774,0.384,0,"0","PHB"
0,1.23716705381371,0.872,0.483,0,"0","BANF1"
0,1.34360846012653,0.789,0.401,0,"0","MFAP2"
0,1.68678338075741,0.743,0.355,0,"0","ATRAID"
0,2.49487163541034,0.499,0.111,0,"0","MAL2"
0,1.37758441813071,0.877,0.489,0,"0","PGAM1"
0,1.54880373475458,0.652,0.264,0,"0","NUSAP1"
0,1.27723447127065,0.822,0.434,0,"0","SKIL"
0,1.66831324644887,0.709,0.321,0,"0","SIVA1"
0,1.60138202652224,0.71,0.323,0,"0","FAM136A"
0,1.71306684359935,0.666,0.28,0,"0","HEBP2"
0,2.71611827558351,0.512,0.126,0,"0","COL14A1"
0,1.507098161116,0.773,0.387,0,"0","ANAPC11"
0,2.48587241914731,0.541,0.157,0,"0","RARRES2"
0,1.27850395206327,0.845,0.461,0,"0","LSM7"
0,1.74446215209282,0.731,0.348,0,"0","GTF3A"
0,2.27089443490295,0.567,0.184,0,"0","HES1"
0,1.55831101324444,0.722,0.339,0,"0","PSAT1"
0,1.26158677863058,0.683,0.301,0,"0","GPC4"
0,1.72526945095482,0.646,0.264,0,"0","GSTO1"
0,1.2994694756267,0.889,0.507,0,"0","NOP10"
0,1.24074438153753,0.895,0.513,0,"0","SELENOW"
0,1.36256833370331,0.792,0.412,0,"0","GALNT7"
0,2.86442315755159,0.482,0.102,0,"0","B3GNT7"
0,2.3295797573042,0.618,0.238,0,"0","KIAA0825"
0,1.46255833272519,0.768,0.389,0,"0","KNOP1"
0,1.24630660280392,0.83,0.451,0,"0","COX7B"
0,1.23696012362527,0.778,0.4,0,"0","DANCR"
0,1.55323113162288,0.921,0.543,0,"0","ERP29"
0,1.35691448320561,0.866,0.489,0,"0","SAP18"
0,1.32649142839851,0.85,0.473,0,"0","EIF3K"
0,1.71256649229863,0.673,0.297,0,"0","DHFR"
0,1.52642733489638,0.928,0.552,0,"0","COX5B"
0,1.33824087721032,0.862,0.486,0,"0","MDH2"
0,1.05324106251807,0.649,0.273,0,"0","MKI67"
0,1.40837183483534,0.682,0.307,0,"0","LSM6"
0,2.72057863741354,0.487,0.112,0,"0","ALPL"
0,1.2588220677642,0.877,0.502,0,"0","HNRNPF"
0,1.44460818066795,0.77,0.396,0,"0","HLA-C"
0,1.35875531039235,0.819,0.446,0,"0","PFDN4"
0,1.39651198282191,0.938,0.566,0,"0","PSMA2"
0,1.74172126491302,0.628,0.256,0,"0","DIAPH2"
0,1.48247926857262,0.704,0.332,0,"0","LAMTOR4"
0,1.59848243613842,0.625,0.254,0,"0","BIRC5"
0,1.38055601877667,0.948,0.577,0,"0","SNRPD1"
0,1.4046127063999,0.768,0.398,0,"0","IMPDH2"
0,1.17646950019357,0.643,0.273,0,"0","CENPE"
0,1.24694035612667,0.851,0.481,0,"0","ATP5PO"
0,1.19963111474921,0.779,0.41,0,"0","TOMM6"
0,1.12439220930876,0.978,0.609,0,"0","SEMA6A"
0,1.31665942236397,0.785,0.417,0,"0","SNRPD3"
0,1.26954125055731,0.924,0.556,0,"0","UGP2"
0,1.22453884361303,0.859,0.491,0,"0","CXADR"
0,1.60568596061915,0.701,0.333,0,"0","TFAM"
0,1.69637517494361,0.662,0.295,0,"0","SYPL1"
0,1.28336863679419,0.679,0.312,0,"0","KIF20B"
0,1.60754478651134,0.599,0.232,0,"0","BUB1"
0,1.56524803567221,0.72,0.353,0,"0","NDUFA6"
0,1.3179903052265,0.931,0.565,0,"0","PCBP1"
0,1.67482648107732,0.678,0.312,0,"0","BNIP3"
0,1.22017820738779,0.857,0.491,0,"0","ATP5IF1"
